sp_id,loc_id,time_bucket,repetitive_demand_quantity
8328468,3,202402,246
8328468,3,202403,84
8328468,3,202404,84
8328468,3,202405,90
8328468,3,202406,107
8328468,3,202407,71
8328468,3,202408,288
8328468,3,202409,172
8328468,3,202410,124
8328468,3,202411,114
8328468,3,202412,214
8328468,3,202501,150
8328468,3,202502,187
8328468,3,202503,158
8053007,3,202104,129
8053007,3,202105,310
8053007,3,202106,259
8053007,3,202107,259
8053007,3,202108,309
8053007,3,202109,257
8053007,3,202110,289
8053007,3,202111,311
8053007,3,202112,286
8053007,3,202201,263
8053007,3,202202,274
8053007,3,202203,253
8053007,3,202204,193
8053007,3,202205,252
8053007,3,202206,248
8053007,3,202207,188
8053007,3,202208,235
8053007,3,202209,271
8053007,3,202210,270
8053007,3,202211,270
8053007,3,202212,169
8053007,3,202301,125
8053007,3,202302,199
8053007,3,202303,187
8053007,3,202304,172
8053007,3,202305,180
8053007,3,202306,176
8053007,3,202307,194
8053007,3,202308,85
8053007,3,202309,160
8053007,3,202310,169
8053007,3,202311,114
8053007,3,202312,85
8053007,3,202401,93
8053007,3,202402,87
8053007,3,202403,88
8053007,3,202404,91
8053007,3,202405,75
8053007,3,202406,133
8053007,3,202407,124
8053007,3,202408,132
8053007,3,202409,93
8053007,3,202410,162
8053007,3,202411,106
8053007,3,202412,73
8053007,3,202501,69
8053007,3,202502,83
8053007,3,202503,110
8044533,3,202104,5
8044533,3,202105,21
8044533,3,202106,64
8044533,3,202107,85
8044533,3,202108,29
8044533,3,202109,13
8044533,3,202110,20
8044533,3,202111,22
8044533,3,202112,44
8044533,3,202201,17
8044533,3,202202,132
8044533,3,202203,36
8044533,3,202204,40
8044533,3,202205,9
8044533,3,202206,105
8044533,3,202207,44
8044533,3,202208,74
8044533,3,202209,26
8044533,3,202210,427
8044533,3,202211,105
8044533,3,202212,293
8044533,3,202301,134
8044533,3,202302,39
8044533,3,202303,41
8044533,3,202304,48
8044533,3,202305,21
8044533,3,202306,71
8044533,3,202307,22
8044533,3,202308,3
8044533,3,202309,80
8044533,3,202310,112
8044533,3,202311,73
8044533,3,202312,100
8044533,3,202401,219
8044533,3,202402,23
8044533,3,202403,234
8044533,3,202404,32
8044533,3,202405,127
8044533,3,202406,19
8044533,3,202407,38
8044533,3,202408,70
8044533,3,202409,68
8044533,3,202410,161
8044533,3,202411,83
8044533,3,202412,148
8044533,3,202501,9
8044533,3,202502,64
8044533,3,202503,104
9046137,3,202104,8
9046137,3,202105,12
9046137,3,202106,9
9046137,3,202107,11
9046137,3,202108,9
9046137,3,202109,11
9046137,3,202110,13
9046137,3,202111,14
9046137,3,202112,5
9046137,3,202201,11
9046137,3,202202,8
9046137,3,202203,13
9046137,3,202204,14
9046137,3,202205,19
9046137,3,202206,6
9046137,3,202207,6
9046137,3,202208,12
9046137,3,202209,6
9046137,3,202210,9
9046137,3,202211,15
9046137,3,202212,4
9046137,3,202301,13
9046137,3,202302,14
9046137,3,202303,8
9046137,3,202304,10
9046137,3,202305,19
9046137,3,202306,9
9046137,3,202307,7
9046137,3,202308,6
9046137,3,202309,20
9046137,3,202310,19
9046137,3,202311,9
9046137,3,202312,11
9046137,3,202401,19
9046137,3,202402,25
9046137,3,202403,10
9046137,3,202404,6
9046137,3,202405,8
9046137,3,202406,12
9046137,3,202407,15
9046137,3,202408,8
9046137,3,202409,11
9046137,3,202410,16
9046137,3,202411,9
9046137,3,202412,3
9046137,3,202501,6
9046137,3,202502,11
9046137,3,202503,12
8575472,3,202104,57
8575472,3,202105,61
8575472,3,202106,86
8575472,3,202107,63
8575472,3,202108,71
